,Energy Supply,Energy Supply per Capita,% Renewable,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Dominican Republic,339000000.0,33.0,11.2506,44040207628.7205,47772449977.7855,49274277961.9322,49735377436.7753,53864484468.2287,55383939355.4068,56840263481.204,59555944572.0708,63927874022.2013,68372979594.1545
Ecuador,680000000.0,43.0,47.71486,61468918471.6664,62815127109.2433,66808366776.0763,67186830556.6821,69555367000.0,75028081292.3641,79261137178.2611,82870352926.102,85915823595.2695,86165289702.3501
El Salvador,176000000.0,29.0,56.44505,20742429449.0965,21538890031.9524,21813344449.0965,21129922271.926003,21418300000.0,21893108501.5425,22304908121.4191,22716943729.6166,23040719705.8175,23606383710.8859
Equatorial Guinea,73000000.0,91.0,6.363636,11220063793.3147,12594765185.3024,13842701827.4488,13214974203.5352,12709498548.488998,12960593573.216002,13705469472.248999,12813586082.7027,12777156073.0929,11219128487.1481
Eritrea,34000000.0,7.0,0.550964,2179437333.32658,2210534025.9850802,1994276818.2364302,2071584990.2117102,2117039512.1951199,2300794306.42964,,,,
Estonia,258000000.0,195.0,4.180791,21893390728.4768,23589735099.3377,22311298013.245,19026092715.2318,19494662251.6556,20972966887.4172,22059907284.7682,22405761589.404,23056993377.4834,23303205298.0132
Ethiopia,1394000000.0,15.0,99.90825,19795942247.5789,22063798449.7811,24444156129.287003,26595865977.4424,29933790334.3418,33279878092.46,36157859262.3837,39984181570.2945,44094230373.9461,48330591494.5301
Fiji,31000000.0,36.0,62.00466,3087900695.98078,3061633357.19555,3093253731.5226603,3050380074.73233,3140508835.9485,3044714645.1164603,3094495436.84747,3260220628.45478,3486534533.8372602,3605758854.7063203
Finland,1374000000.0,252.0,19.53657,247590728476.821,260427814569.536,262304635761.589,240614569536.42398,247814569536.42398,254185430463.57602,250560264900.662,248660927152.318,246924503311.258,248272847682.119
France,10597000000.0,166.0,17.02028,2607839735099.34,2669423841059.6,2674637086092.71,2595966887417.22,2646994701986.75,2702031788079.47,2706968211920.53,2722566887417.22,2729631788079.47,2761185430463.58
French Polynesia,12000000.0,44.0,26.8556,,,,,,,,,,
Gabon,99000000.0,60.0,37.5,13106978860.3736,13848696552.9606,13390522031.7449,13407974049.0581,14358584300.3006,15376859682.3653,16184310411.783,17096848843.9712,17834556863.8851,18522379317.4307
Georgia,163000000.0,40.0,82.22487,9903472455.26205,11125957083.2467,11383417007.1232,10953604844.0314,11638536890.5347,12479016519.7774,13271494210.7138,13721005522.6874,14355373148.9259,14753724431.5116
Germany,13261000000.0,165.0,17.90153,3332890754966.89,3441560834437.09,3478809377483.44,3283339933774.83,3417298013245.03,3542371125827.81,3556723774834.44,3567317390728.48,3624386278145.7,3685555907284.77
